item_id,restaurant_id,item_name,global_item_id,cuisine,category,price,is_veg,is_bestseller,avg_weekly_orders
ITM00001,R0001,Special Cold Coffee,COLD_COFFEE,Beverage,Beverage,149,True,False,31
ITM00002,R0001,House Tiramisu,TIRAMISU,Continental,Dessert,279,True,False,36
ITM00003,R0001,Spicy Hakka Noodles,HAKKA_NOODLES,Chinese,Main,269,True,True,184
ITM00004,R0001,House Kulfi,KULFI,Dessert,Dessert,109,True,False,26
ITM00005,R0001,Classic Shrikhand,SHRIKHAND,Dessert,Dessert,89,True,True,446
ITM00006,R0001,Mango Lassi,MANGO_LASSI,Beverage,Beverage,99,True,False,9
ITM00007,R0001,Premium Virgin Mojito,VIRGIN_MOJITO,Beverage,Beverage,129,True,False,36
ITM00008,R0001,House Spring Rolls,SPRING_ROLLS,Chinese,Side,159,True,False,32
ITM00009,R0001,Premium Veg Manchurian,VEG_MANCHURIAN,Chinese,Main,269,True,False,37
ITM00010,R0001,Premium Margherita Pizza,MARGHERITA_PIZZA,Continental,Main,199,True,False,36
ITM00011,R0001,Spicy Pasta Arrabbiata,PASTA_ARRABBIATA,Continental,Main,349,True,True,174
ITM00012,R0001,House Chicken Fried Rice,CHICKEN_FRIED_RICE,Chinese,Main,229,False,False,18
ITM00013,R0001,Spicy Lassi,LASSI,Beverage,Beverage,79,True,False,21
ITM00014,R0001,House Veg Fried Rice,VEG_FRIED_RICE,Chinese,Main,229,True,False,8
ITM00015,R0001,Signature Choco Lava Cake,CHOCO_LAVA_CAKE,Dessert,Dessert,109,True,False,28
ITM00016,R0001,Premium Brownie,BROWNIE,Dessert,Dessert,229,True,False,23
ITM00017,R0001,Signature French Fries,FRENCH_FRIES,Continental,Side,89,True,False,21
ITM00018,R0001,Special Garlic Bread,GARLIC_BREAD,Continental,Side,169,True,False,39
ITM00019,R0001,Classic Masala Chaas,MASALA_CHAAS,Beverage,Beverage,79,True,False,20
ITM00020,R0001,Caesar Salad,CAESAR_SALAD,Continental,Side,279,False,False,23
ITM00021,R0002,Spicy Kulfi,KULFI,Dessert,Dessert,129,True,False,6
ITM00022,R0002,Premium Idli,IDLI,South Indian,Main,139,True,False,4
ITM00023,R0002,Classic Brownie,BROWNIE,Dessert,Dessert,109,True,False,40
ITM00024,R0002,Special Rasam,RASAM,South Indian,Extension,59,True,False,19
