order_id,user_id,restaurant_id,city,order_timestamp,items_ordered,total_value,payment_mode,was_late,rating_given,discount_applied
ORD000001,U0009,R0319,Chandigarh,2024-09-04 17:33:00,"ITM05831,ITM05841,ITM05835",417,Card,False,5.0,53
ORD000002,U0794,R0044,Mumbai,2024-10-28 15:44:00,"ITM00819,ITM00820,ITM00816",427,UPI,False,,0
ORD000003,U0678,R0305,Kochi,2024-01-07 18:34:00,"ITM05566,ITM05557",228,Card,False,5.0,0
ORD000004,U0139,R0258,Surat,2023-02-02 20:44:00,"ITM04655,ITM04656,ITM04661,ITM04670,ITM04672",655,UPI,False,4.0,0
ORD000005,U0472,R0338,Delhi,2024-10-13 08:21:00,"ITM06178,ITM06182",268,COD,False,,0
ORD000006,U0667,R0056,Kochi,2024-03-04 10:32:00,ITM01061,229,COD,False,4.0,0
ORD000007,U0069,R0471,Bangalore,2023-07-31 08:39:00,ITM08575,279,UPI,False,5.0,0
ORD000008,U0197,R0186,Mumbai,2024-04-08 19:30:00,"ITM03361,ITM03368",528,COD,False,5.0,0
ORD000009,U0140,R0356,Jaipur,2024-05-05 20:45:00,"ITM06533,ITM06532,ITM06537,ITM06525,ITM06521",1535,UPI,False,5.0,0
ORD000010,U0999,R0001,Chandigarh,2024-12-24 13:19:00,"ITM00016,ITM00003",498,UPI,False,4.0,0
ORD000011,U0667,R0070,Kochi,2024-10-23 08:47:00,ITM01301,69,Wallet,False,5.0,0
ORD000012,U0097,R0021,Kochi,2023-03-04 10:43:00,ITM00379,119,COD,False,4.0,0
ORD000013,U0190,R0169,Pune,2024-03-20 21:19:00,"ITM03072,ITM03073",138,Card,True,1.0,0
ORD000014,U0097,R0165,Kochi,2024-10-26 09:18:00,"ITM02987,ITM02999",358,Card,False,,0
ORD000015,U0275,R0232,Lucknow,2023-10-31 14:09:00,ITM04183,79,Card,False,5.0,0
ORD000016,U0685,R0319,Chandigarh,2023-06-11 21:15:00,"ITM05835,ITM05840",298,UPI,False,5.0,0
ORD000017,U0008,R0095,Jaipur,2024-03-25 15:22:00,"ITM01760,ITM01756",268,UPI,False,5.0,0
ORD000018,U0916,R0040,Lucknow,2023-05-01 22:42:00,"ITM00746,ITM00759,ITM00751",817,UPI,False,4.0,0
